"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1775109968292970626","Tue Apr 02 23:59:26 +0000 2024","0","@RaulinKenta @raymond_frans @Dennysiregar7 @ganjarpranowo @H4T14K4LN4L42 @KPU_ID @Miduk17 @msaid_didu Berpihak boleh tapi harus cuti dan tidak menggunakan fasilitas negara","1775312114560967127","","RaulinKenta","in","","0","1","0","https://x.com/Bambangmulyonoo/status/1775312114560967127","1296312516901916672","Bambangmulyonoo"
"1775044382099718485","Tue Apr 02 23:58:55 +0000 2024","0","@kompascom Ketua BAWASLU dan KPU di sidang PHPU 2024 ibarat seperti SAPI OMPONG ","1775311986550886788","","kompascom","in","","0","0","0","https://x.com/SuhartoHartok30/status/1775311986550886788","828217711821938690","SuhartoHartok30"
"1775172512588112360","Tue Apr 02 23:56:38 +0000 2024","1","@Bams_4GP @KPU_ID Stresss ni orang bingung akhirnya tertidur","1775311410412863948","","Bams_4GP","in","planet mars","0","0","0","https://x.com/SangPrabu123456/status/1775311410412863948","1676505136976498688","SangPrabu123456"
"1775174676517675255","Tue Apr 02 23:55:43 +0000 2024","1","@NamoAryatara @MahkamahAgung @officialMKRI @KomisiYudisial @KPU_ID @bawaslu_RI Pertanyaan dari rakyat 58%.....daaan ...16% yg menyesal memilih @ganjarpranowo &amp; @mohmahfudmd 24% yg milih @aniesbaswedan &amp; @cakimiNOW ‼‼‼‼‼","1775311181273792970","","NamoAryatara","in","","0","0","1","https://x.com/sumpahlusampah/status/1775311181273792970","1729761988296019968","sumpahlusampah"
"1775128173828886678","Tue Apr 02 23:55:26 +0000 2024","0","@blank0429 @ryon04 Ini yg salah KPU atau KpPS mas?","1775311109064724600","","blank0429","in","Indonesia","0","0","0","https://x.com/ellpraso/status/1775311109064724600","1220625632905678848","ellpraso"
"1775032408536240628","Tue Apr 02 23:52:31 +0000 2024","0","@TSenapelan4266 @abu_waras Dr kubu 01 udah melayangkan sebnyk 70 gugatan tp ga digubris sama KPU","1775310375325770061","","TSenapelan4266","in","Jakarta Capital Region","0","0","0","https://x.com/sitinufawaluyo/status/1775310375325770061","534425710","sitinufawaluyo"
"1775310291364135321","Tue Apr 02 23:52:11 +0000 2024","3","Sampe skrg di MK ketua KPU ga bisa jelasin knp jmlh total suara pilpres lbh byk dr pileg sktr 28 juta ato 38 juta suara. Taroklah itu ada selisih krn suara ga sah tp kpu ga pernah buka datanya di pileg. Pdhl utk pilpres bs 2 puteran hanya perlu kurangi suara 02 13 juta suara aja","1775310291364135321","","","in","Hamburg, Germany","0","1","1","https://x.com/lihatdariatas/status/1775310291364135321","2873175666","lihatdariatas"
"1775109968292970626","Tue Apr 02 23:51:13 +0000 2024","2","@raymond_frans @Bambangmulyonoo @Dennysiregar7 @ganjarpranowo @H4T14K4LN4L42 @KPU_ID @Miduk17 @msaid_didu pak jokowi juga seharusnya ngga boleh berpihak. ","1775310044894245203","","raymond_frans","in","","0","2","0","https://x.com/RaulinKenta/status/1775310044894245203","1108530475419631616","RaulinKenta"
"1775195800781692933","Tue Apr 02 23:50:04 +0000 2024","0","@Fahrihamzah Ya KPU RInya IQnya tinggi untuk di sidang MK aja banyak di bantah ngitung aja gak becus orang kaya gini dijadikan sebagai pemimpin untuk penentu suara rakyat dan ini untuk kemajuan rakyat secara global kedepan selama 5 tahun diserahkan ama orang kayak gini wadau...","1775309759438319874","","Fahrihamzah","in","Kota Serang, Banten","0","0","0","https://x.com/lesmana_tubagus/status/1775309759438319874","1521493965002129409","lesmana_tubagus"
"1775172512588112360","Tue Apr 02 23:47:35 +0000 2024","3","@Bams_4GP @KPU_ID Smg Tuhan datang dlm tidurmu dan engkau ungkap kebenaran sesungguhnya karna engkau tdk mau dosa itu melekat","1775309131844661429","","Bams_4GP","in","","0","0","0","https://x.com/NanikNaomi/status/1775309131844661429","1243069658921439247","NanikNaomi"
"1775185978510237721","Tue Apr 02 23:47:20 +0000 2024","0","@abu_waras Kenapa yg kewalahan 02 yang digugat kan KPU","1775309069760573471","","abu_waras","in","","0","0","0","https://x.com/TholekG/status/1775309069760573471","1101738716471541766","TholekG"
"1775212912413458627","Tue Apr 02 23:46:54 +0000 2024","9","@blank0429 audit forensikharus di jalankan...sdh jelas di dalam komputer KPU..banyak jin..siluman...wewe gembel...kuntilanak...gendoruwo..suster ngesot...hantu jeruk purut dlll...","1775308958565126445","","blank0429","in","7 oceans 7 continents","0","1","0","https://x.com/ramadhanfnu/status/1775308958565126445","2152266583","ramadhanfnu"
"1775195537819730306","Tue Apr 02 23:46:01 +0000 2024","4","@Bakhjatul @Fahrihamzah Kasihan Ketua KPU RI kelas jabatannya tinggi di negara IQ nya jongkok","1775308737332601260","","Bakhjatul","in","Kota Serang, Banten","0","0","1","https://x.com/lesmana_tubagus/status/1775308737332601260","1521493965002129409","lesmana_tubagus"
