"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1762986695275032776","Wed Feb 28 23:42:37 +0000 2024","24","Komisi Pemilihan Umum atau KPU Manokwari Papua Barat memutuskan menggelar Pemungutan Suara Ulang di 7 TPS yg tersebar di empat kelurahan. Sebelumnya Bawaslu Manokwari menemukan sejumlah pelanggaran saat pencoblosan ___ #JagaPapua_TumpasKSTP Wan Abud Best Skill karina Jegel https://t.co/8F2cIPb75h","1762986695275032776","https://pbs.twimg.com/ext_tw_video_thumb/1762986410125201408/pu/img/2znd3yNdMStwKk7y.jpg","","in","Indonesia","1","5","18","https://x.com/Saodah1234/status/1762986695275032776","1272953532535062529","Saodah1234"
"1762956790466318611","Wed Feb 28 21:43:47 +0000 2024","0","Pemilihan presiden (pilpres) sudah digelar Rabu (14/2/2024). Tim CNBC Indonesia Research telah merangkum hasil real count terkini yang dikutip dari Komisi Pemilihan Umum (KPU). https://t.co/132zKWyxq1 https://t.co/6B1H46E1cJ","1762956790466318611","https://pbs.twimg.com/media/GHdH2tPaQAAmdWa.jpg","","in","","0","0","0","https://x.com/tinusflip/status/1762956790466318611","704238913158782977","tinusflip"
"1762916719860007288","Wed Feb 28 19:04:34 +0000 2024","0","Komisi Pemilihan Umum (KPU) DKI Jakarta memulai proses penjaringan tim pemantau Pilgub DKI Jakarta 2024. Pendaftaran akan dibuka hingga 16 November. https://t.co/UvUKifBBMb","1762916719860007288","","","in","","0","0","0","https://x.com/inilahdotcom/status/1762916719860007288","46693036","inilahdotcom"
"1762874196466729025","Wed Feb 28 16:15:35 +0000 2024","0","Komisi Pemilihan Umum (KPU) Provinsi Banten mengingatkan kepada seluruh partai politik yang menjadi peserta pemilihan umum (Pemilu) 2024 untuk segera ... https://t.co/Uv9XDL43Tx","1762874196466729025","","","in","","0","0","0","https://x.com/inilahdotcom/status/1762874196466729025","46693036","inilahdotcom"
"1762861075689787666","Wed Feb 28 15:23:27 +0000 2024","0","Komisi Pemilihan Umum Provinsi NTT telah melakukan pembayaran santunan bagi 6 (enam) badan Ad Hoc yang meninggal dunia dalam Pemilu 2024. https://t.co/iEAiju0k8k","1762861075689787666","","","in","Kupang, Indonesia","0","0","0","https://x.com/poskupangcom/status/1762861075689787666","106976813","poskupangcom"
"1762853949315616769","Wed Feb 28 14:55:08 +0000 2024","1","#TemanPemilih Komisi Pemilihan Umum Kabupaten Landak melaksanakan Rapat Koordinasi Persiapan Rekapituliasi dan Penetapan Hasil Perhitungan Perolehan Suara Pemilihan Umum Tahun 2024 di Tingkat Kabupaten Landak Rabu (28/2) bertempat di Aula BKPM Polres Landak. https://t.co/PtZ5BHNULv","1762853949315616769","https://pbs.twimg.com/media/GHbqUo5aQAEA0Rg.jpg","","in","West Borneo, Indonesia","0","0","0","https://x.com/LandakKpu/status/1762853949315616769","1366577112941912071","LandakKpu"
"1762845781332209667","Wed Feb 28 14:22:41 +0000 2024","0","Bahkan ia tak segan untuk mengepung kantor Komisi Pemilihan Umum ( KPU ) dan akan kumpulkan seluruh rakyat Indonesia untuk turun kejalan. Saya akan turunkan pasukan - pasukan bahkan rakyat Indonesia saya serukan semuanya harus turun di jalan Kepung KPU. tambahnya.","1762845783655915985","","triwahyuutama15","in","Semarang, Indonesia","0","1","0","https://x.com/triwahyuutama15/status/1762845783655915985","373848200","triwahyuutama15"
"1762843305572962536","Wed Feb 28 14:12:50 +0000 2024","21","Sekjen MK Heru Setiawan didampingi Panitera Muda 2 Wiryanto dan Kepala Biro Hukum dan Administrasi Kepaniteraan Fajar Laksono Suroso bertemu Deputi Teknis Komisi Pemilihan Umum (KPU) Eberta Kawima Senin (26/02/2024) di Gedung KPU. (1/3) https://t.co/2Z0NOkCWHU","1762843305572962536","https://pbs.twimg.com/media/GHbgorKbEAATl4f.jpg","","in","Jakarta Pusat, DKI Jakarta","1","4","2","https://x.com/officialMKRI/status/1762843305572962536","517105241","officialMKRI"
"1762834179870605686","Wed Feb 28 13:36:35 +0000 2024","0","KPU Sidrap Jadi yang Pertama Serahkan Hasil Rekapitulasi Tingkat Kabupaten: Komisi Pemilihan Umum (KPU) Kabupaten Sidrap menyerahkan hasil perhitungan suara tingkat kabupaten ke KPU Sulsel.. https://t.co/7FD0SmlBQN #Makassar #KPUSidrap #Rekapitulasitingkatkabupaten #KPUSulsel","1762834179870605686","","","in","Makassar, Indonesia","0","0","0","https://x.com/terkinidotid/status/1762834179870605686","123757780","terkinidotid"
"1762830141179511112","Wed Feb 28 13:20:32 +0000 2024","1","Komisi Pemilihan Umum (KPU) masih melakukan rekapitulasi suara Pemilu 2024. Akan tetapi sudah terlihat caleg dengan perolehan suara terbanyak sejauh ini. https://t.co/hhisnOSsd9","1762830141179511112","","","in","","0","0","0","https://x.com/porostimurcom/status/1762830141179511112","1733503145282781184","porostimurcom"
"1762829713297531381","Wed Feb 28 13:18:50 +0000 2024","1","Komisi Pemilihan Umum Kabupaten Maluku Tenggara akan menggelar rapat pleno rekapitulasi hasil perhitungan perolehan surat Pemilu 2024 yang direncanakan akan berlangsung mulai Kamis besok di Hotel Kimson Langgur. https://t.co/8IFcXvfqmn","1762829713297531381","","","in","","0","0","0","https://x.com/porostimurcom/status/1762829713297531381","1733503145282781184","porostimurcom"
