"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1766403079115788361","Sat Mar 09 23:58:23 +0000 2024","0","@ronaldy596 Sepertinya KPU lebih memilih mandat penguasa daripada mandat rakyat padahal KPU dan penguasa sama2 makan gaji dari uang rakyat.","1766614539590861295","","ronaldy596","in","","0","0","0","https://x.com/joppieadi999/status/1766614539590861295","1125235286810566656","joppieadi999"
"1766579844693868782","Sat Mar 09 23:58:11 +0000 2024","10","@JJhonpres @Joes22525134 @gibran_tweet Menurut UU salah satu syarat bacapres/bacawapres minimal berijazah setara S1. Jika tuduhan itu benar cawapres GRR otomatis batal demi hukum. Mengingat bahwa majunya GRR sebagai bacawapres dimungkinkan karena ada paman Usman di MK ngakali konstitusi dan pendaftarannya di KPU","1766614492207841331","","JJhonpres","in","Jakarta Capital Region","0","6","0","https://x.com/patrickharimo/status/1766614492207841331","248998166","patrickharimo"
"1766486147121992181","Sat Mar 09 23:58:09 +0000 2024","1","@Syarman59 @KPU_ID @bawaslu_RI @officialMKRI Kasihan lihat anda pak. Sampai berita coba dikamuflase. Nggak baik utk kesehatan peyan pak.","1766614482615419275","","Syarman59","in","Jakarta, Indonesia","0","0","2","https://x.com/StefRudi/status/1766614482615419275","2833745060","StefRudi"
"1766614411542974902","Sat Mar 09 23:57:52 +0000 2024","5","Mengapa? Karena ini bilangan asli bukan bilangan gaib dan juga TIDAK BERADA DIRANAH @KPU_ID","1766614411542974902","","","in","Victorious Queen","0","1","2","https://x.com/otnayram_me/status/1766614411542974902","1255462834466697216","otnayram_me"
"1766445606124528063","Sat Mar 09 23:57:44 +0000 2024","0","@JamalBoegis KPU uda menyatakan 01 dan 02 akan maju ke putaran ke dua.","1766614377799766348","","JamalBoegis","in","","0","1","0","https://x.com/YahyaYahya37128/status/1766614377799766348","1737294686518472704","YahyaYahya37128"
"1766410993398419477","Sat Mar 09 23:57:22 +0000 2024","0","@jansen_jsp Sama aja udah claim menang sebelum @KPU_ID umumkan. Lengkap lengkip etika sudah menguap.","1766614284359057827","","jansen_jsp","in","Tanjung Priok, Indonesia","0","0","0","https://x.com/fieda_maranri/status/1766614284359057827","152673208","fieda_maranri"
"1766614147117326640","Sat Mar 09 23:56:49 +0000 2024","0","Bunuh megawati sukarno putri. Ia berpaham yahudi. Ia orang kafir bukan muslim kerajaan Allah. Saya tuntut megawati UUD teroristme. Seandainya z bisa membunuhnya sendiri saya perempuan semesta ingin sekali. Ia bax membodohi masyarakat. @KPU_ID you have to independent.","1766614147117326640","","","in","","0","0","0","https://x.com/sudarmi27295126/status/1766614147117326640","1604664203528134657","sudarmi27295126"
"1766613665703395417","Sat Mar 09 23:54:54 +0000 2024","0","#TemanPemilih Mimin #Repost dari @KPU_ID dapatkan update informasi kepemiluan dari platform media sosial dan download aplikasi SIMEDSOS untuk mengakses platform media sosial KPU yang asli dan terlegitimasi Scan barcode pada flyer berikut #kpu #KPUMelayani #PemiluSerentak2024 https://t.co/KTdhdGG361","1766613665703395417","https://pbs.twimg.com/media/GIRFwhSacAAX1bW.jpg","","in","Banjarnegara, Jawa Tengah","0","0","0","https://x.com/PPKSusukanBna/status/1766613665703395417","1733672225843417088","PPKSusukanBna"
"1766327227220918598","Sat Mar 09 23:51:25 +0000 2024","0","@bengkeldodo Emang sudah ada keputusan KPU bro? Koq nafsu amat ya. Mkmkmkmk","1766612788750016626","","bengkeldodo","in","DKI Jakarta, Indonesia","0","0","0","https://x.com/MFetih2/status/1766612788750016626","1022774911759052801","MFetih2"
"1766612504086446247","Sat Mar 09 23:50:17 +0000 2024","0","Hasto Tengarai Ada Kekuatan Besar di Belakang KPU: Data Direkam Alibaba Ini Sudah Tidak Benar https://t.co/Yq0iqbCJfu https://t.co/Yq0iqbCJfu","1766612504086446247","","","in","indonesia","0","0","0","https://x.com/posaktualcom/status/1766612504086446247","1636627729675337734","posaktualcom"
"1765991242373214640","Sat Mar 09 23:49:35 +0000 2024","0","@tawajkt @KPU_ID Potong titit saranku","1766612328722608191","","tawajkt","in","","0","0","0","https://x.com/JostemT/status/1766612328722608191","976870460695625728","JostemT"
"1766477269093261711","Sat Mar 09 23:48:22 +0000 2024","4","@Boediantar4 Ya udah laporin ke kpu. Jangan cuma di posting2. Tolol","1766612022266044802","","Boediantar4","in","Denpasar Selatan, Indonesia","0","0","0","https://x.com/PedroAjah4/status/1766612022266044802","1443209986880901124","PedroAjah4"
"1766611659865395476","Sat Mar 09 23:46:56 +0000 2024","0","#repost @KPU_ID #TemanPemilih Selamat Memperingati Hari Perempuan Internasional Jumat 8 Maret 2024 #kpu #KPUMelayani #Pemiluserentak2024 https://t.co/Y6yTgSP0I8","1766611659865395476","https://pbs.twimg.com/media/GIRD6fla0AA8ECV.jpg","","in","Banjarnegara, Jawa Tengah","0","0","0","https://x.com/PPKSusukanBna/status/1766611659865395476","1733672225843417088","PPKSusukanBna"
"1766437137162158413","Sat Mar 09 23:46:06 +0000 2024","3","@mickolv_idas @Andiarief__ SIREKAP. Menghitung suara yang berasal dari ratusan Ribu TPS KPU butuh waktu seminggu lebih. Tapi untuk mengeditnya Cukup sejam dua jam saja. Saya mensinyalir KPU memberikan tugas berat ini kepada STAF khususnya yang ternyata adalah Anak Kandung dari... Gundala Putra Petir.","1766611449919734262","","mickolv_idas","in","Jayapura","0","0","2","https://x.com/cahayafikiran/status/1766611449919734262","732115060844175360","cahayafikiran"
"1766346048770052458","Sat Mar 09 23:46:01 +0000 2024","2","@hamas191 Yg komen negatif siapin hapenya dengerin youtube biar dpt info yg benar dr ahlinya. KPU ijazahnya apa?? Nga ngerti apa2 ttg IT","1766611430168731997","","hamas191","in","Québec, Canada","0","0","1","https://x.com/dee_montreal/status/1766611430168731997","1214135204291305472","dee_montreal"
"1766611301294629275","Sat Mar 09 23:45:30 +0000 2024","3","Alhmdulillah ‍ Munggahan udh ada beras 2 5 kg :) sayap ayam 3 biji. udh bikin ager ager 3 baris. cukuplah bagiku Nikmat yg Engkau beri ‍ #Frugal life Emak HiLma KPU Sirekap Bawaslu AHY banjir oke gas BMKG jakarta MU IKN kpop jokowi ahok GBK gaza israel beras","1766611301294629275","","","in","","0","0","1","https://x.com/NurilHiLma2022/status/1766611301294629275","1317084070468177920","NurilHiLma2022"
