"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1772571529701704135","Tue Mar 26 23:59:36 +0000 2024","2","@moh_aak @Megatop99 @islah_bahrawi @ferdinand_mpu @Ganjar_Mahfud03 @HumorJonTampan @_Rizmaya__ @LASKARP3NGUIN03 @GunRomli @Anak__Ogi Dalam pertarungan mah apapun boleh dipakai. Kecuali pakai ambulan PARTAI buat ngangkut batu dan bom molotov ke KPU","1772775440203268288","","moh_aak","in","DKI Djakarta","0","2","0","https://x.com/SangGuru2471/status/1772775440203268288","728949641421553665","SangGuru2471"
"1772720135058395224","Tue Mar 26 23:57:33 +0000 2024","0","@sharpandshark KPu dan Bawaslu adalah lembaga negara. Knp gegabah ya? Nipengnya ga canggih ah... Amatir bingit... Hikkk","1772774924392022094","","sharpandshark","in","Bogor Utara 2, Indonesia","0","0","0","https://x.com/hanna4u2/status/1772774924392022094","65538856","hanna4u2"
"1772629050999361600","Tue Mar 26 23:54:57 +0000 2024","0","@ch_chotimah2 @Yusrilihza_Mhd @officialMKRI Pihak termohon KPU bln MK KPU tdk ada kewenangan batalkan putusan MK KPU hanya penjalankan perintah UU putusan mk no 90 Klo proses dianggap bermasalah gugatan proses di bawaslu","1772774270428750246","","ch_chotimah2","in","","0","0","0","https://x.com/wahyu_bewe/status/1772774270428750246","1506248147848556546","wahyu_bewe"
"1772625270681244034","Tue Mar 26 23:54:52 +0000 2024","0","@HMJUSUFRIZAL @KPU_ID Mantan Presiden Lira atau anggota LSM Lira berambisi jadi caleg DPR contohnya anggota DPR Hendrik Sitompul yg sekarang caleg gagal 2024 dari partai Demokrat di dapil Sumut I.","1772774252250538134","","HMJUSUFRIZAL","in","Kota Tinggi, Johor","0","0","0","https://x.com/WibowoSuli6068/status/1772774252250538134","1686685188624125952","WibowoSuli6068"
"1772627598247670179","Tue Mar 26 23:54:47 +0000 2024","10","@KompasTV Inikah yang di sebut negara hukum?@KPK_RI @bawaslu_RI @KPU_ID Ini mah negara lawakkkkk","1772774230255698266","","KompasTV","in","","0","0","0","https://x.com/Diazzcbnn/status/1772774230255698266","1661235033762578433","Diazzcbnn"
"1772445439746531344","Tue Mar 26 23:53:40 +0000 2024","0","@BennyHarmanID Begini intinya yg digugat ke KPU adalah keputusan KPU terkait pelanggaran hukum KPU dlm pemilu 2024 dan bila kesalahan KPU tsb diabaikan mk itu bertentangan dgn UU dan sama dgn pelihara racun bagi bangsa serta negara Indonesia.","1772773946833944625","","BennyHarmanID","in","","0","0","0","https://x.com/PalsaKumande/status/1772773946833944625","1753368624633610240","PalsaKumande"
"1772436568432910462","Tue Mar 26 23:53:26 +0000 2024","0","@kompascom ya Hotman lebih baik kamu ngonten aja. Walaupun seakan menyetujui tapi peraturan KPU mengenai batasan umur mungkin belum dirubah toh???nanti lain saja klean bertemu tim hukum AM1N yg sudah di persiapkan memang dari jauh2 hari terbentuknya tim pemenangan ","1772773887790747993","","kompascom","in","","0","0","0","https://x.com/MawLanaHasaNah/status/1772773887790747993","1724457452413054976","MawLanaHasaNah"
"1772431212969078908","Tue Mar 26 23:52:19 +0000 2024","1","@MichelAdam7__ Solusinya untuk Hak Kedaulatan Rakyat ya Wajib Makzulkan Jokowi . Tolak hasil @KPU_ID pilpres prabowo gibran . Indonesia Darurat Demokrasi !!!","1772773607351202227","","MichelAdam7__","in","","0","0","1","https://x.com/Joxplalong/status/1772773607351202227","1414014630507081731","Joxplalong"
"1772522979441713250","Tue Mar 26 23:51:27 +0000 2024","2","@99propaganda Hotman Hotman percuma aja kau pengecara hebat sebenarnya dari dalam pendaftaran gibran KPU menolak nya sebab dalam aturan KPU umur nya belum cukup. Percuma aja kau sekolah tinggi Hotman.","1772773391747235891","","99propaganda","in","","0","0","0","https://x.com/twitaliasman/status/1772773391747235891","1606081336921686016","twitaliasman"
"1772529889885004069","Tue Mar 26 23:50:42 +0000 2024","1","@ike_hw71 ibu. jangannkarena masalah pilpres jadi ribut. sia sia ngurusin masalah ini. kan udah kelar pilpresny. palu KPU sdh sah. yg kalah.ya. nnati 5 th lagi bisa ngencalonkan lagi. sudah cukup berpolemik di maana mana. ngk ada habisnya. mari kita bekerja demi keluarga di rumah","1772773203053862948","","ike_hw71","in","","0","0","0","https://x.com/Duta1708/status/1772773203053862948","954922833636806659","Duta1708"
