"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1768426822264357288","Thu Mar 14 23:59:44 +0000 2024","0","Jaga persatuan dan kesatuan dengan tidak mudah terprovokasi pemberitaan negatif nantikan pengumuman resmi dari KPU https://t.co/v0ce0krTIW","1768426822264357288","https://pbs.twimg.com/media/GIq20qnWUAAhRRC.jpg","","in","","0","0","0","https://x.com/nkriberpolitik/status/1768426822264357288","1582415090959060993","nkriberpolitik"
"1768271632647467100","Thu Mar 14 23:59:42 +0000 2024","0","@never_alonely @tusinojapan sudah telak......KPU ikut Curang","1768426811824984525","","_NeverAlonely","in","Bogor","0","0","0","https://x.com/hardysk82/status/1768426811824984525","2203997504","hardysk82"
"1768147545941758362","Thu Mar 14 23:59:34 +0000 2024","0","@democrazymedia Ok kalo begitu hukum itu Boss loe dan ketua KPU yg tlh buat carut marut demokrasi ini.","1768426780745195886","","democrazymedia","in","Pekalongan","0","0","0","https://x.com/Angkringan2410/status/1768426780745195886","1645082417227776000","Angkringan2410"
"1768426650608513393","Thu Mar 14 23:59:03 +0000 2024","0","Salut pd Pemimpin Negara2 ini Mereka SUDAH MENGUCAPKAN Slamat pada Presiden Terpilih @prabowo padahal Belum di PUTUS @KPU_ID belum di SAHKAN juga.Tap itulah jiwa besarnya keyakinan mereka akan kemenangan Presiden baru ..","1768426650608513393","","","in","","0","0","0","https://x.com/MIrvanDarwin1/status/1768426650608513393","959232692133875712","MIrvanDarwin1"
"1768286274975371670","Thu Mar 14 23:57:30 +0000 2024","0","@yaniarsim @KPU_ID @DPR_RI Niat jhat segelintir manusia semoga patah di tenga jln","1768426259904958949","","yaniarsim","in","","0","0","0","https://x.com/DaniroRobert/status/1768426259904958949","1368405132841418753","DaniroRobert"
"1767870095836279057","Thu Mar 14 23:56:35 +0000 2024","0","@Bambangmulyonoo 20 Oktober 2024 : Sumpah/Janji Pres/Wapres terus serah terima Presiden Jokowi ke presiden baru (nunggu penetapan KPU baru sah). Semoga semua bahagia...","1768426030094852220","","Bambangmulyonoo","in","","0","0","0","https://x.com/IWMawardi/status/1768426030094852220","1739747994","IWMawardi"
"1768426025380352265","Thu Mar 14 23:56:34 +0000 2024","0","Polsek Kaligondang melaksanakan patroli monitoring situasi kamtibmas di kantor KPU Kabupaten Purbalingga #polrespurbalingga #humaspolrespurbalingga #opsmantapbratacandi20232024 #poldajatenghadir #polisi_indonesia #polisirepublikindonesia #polisiindonesia https://t.co/xTrCgR0PCh","1768426025380352265","https://pbs.twimg.com/media/GIq2Fi0bMAAV3zJ.jpg","","in","","0","0","0","https://x.com/PBobotsari02/status/1768426025380352265","1249861992208142338","PBobotsari02"
"1768393325709795478","Thu Mar 14 23:56:08 +0000 2024","0","@Ramadian40 Alhamdulillah ga ikutan. Sejak dia narik data dari KPU terus yang erro ga ada pembenahan langsung jadi hilang respek.","1768425915632197948","","Ramadian40","in","Indonesia","0","1","0","https://x.com/y03_n4n4/status/1768425915632197948","240071842","y03_n4n4"
"1768238002374127619","Thu Mar 14 23:55:32 +0000 2024","1","@abu_waras Tunggu apalagi tangkap ketua kpu adili dan kandangkan penghianat suara rakyat.","1768425762447855809","","abu_waras","in","","0","0","0","https://x.com/UjangSu20328741/status/1768425762447855809","1751164243322507264","UjangSu20328741"
"1768098604923904080","Thu Mar 14 23:55:30 +0000 2024","2","@wrahardian2 @henrysubiakto @ribetbed Pola pikir yg cetek. Ini bukan persoalan menolak hasil pemilu ataupun membatalkan angka² hasil pemilu. Tapi membersihkan sistem di KPU. Krn sirekap telah membuat gaduh masyarakat.","1768425754453500147","","wrahardian2","in","Perbatasan Surga dan Neraka","0","0","0","https://x.com/Cyberwatch0611/status/1768425754453500147","1539874609709072384","Cyberwatch0611"
"1768425484524871992","Thu Mar 14 23:54:25 +0000 2024","0","Gimana ini KPU ??!","1768425484524871992","","","in","Indonesia","0","0","0","https://x.com/MataElang2000/status/1768425484524871992","739051458482425856","MataElang2000"
"1768139679902453953","Thu Mar 14 23:53:07 +0000 2024","0","@Mdy_Asmara1701 Iya waktu itu padahal ud ada desas desus mau tidak ikut pemilu tp akhirnya ttp ikut ttp daftar ttp kampanye keliling2 ttp siapkan perangkat saksi juga. Mestinya dari awal sekalian protes dengan tidak ikut pemilu lebih mampus KPU nya dibuat. Ini udah kalah dulu baru protes.","1768425155691425935","","Mdy_Asmara1701","in","","0","0","0","https://x.com/TND_Million/status/1768425155691425935","1533603037","TND_Million"
"1768205752559436148","Thu Mar 14 23:53:05 +0000 2024","0","@yusuf_dumdum @KPU_ID Semoga kebenaran yg nyata segera terungkap. Proses aktor2nya","1768425149077082579","","yusuf_dumdum","in","","0","0","0","https://x.com/NanikNaomi/status/1768425149077082579","1243069658921439247","NanikNaomi"
"1768098604923904080","Thu Mar 14 23:52:47 +0000 2024","0","@henrysubiakto @ribetbed Terlepas dari persoalan audit mengaudit maka KPU harus bertangungjawab ataa kegaduhan yg terjadi pasca pemilu 2024 yg terjadi krn program sirekap dan kawalpemilu2024.","1768425071859970249","","henrysubiakto","in","Perbatasan Surga dan Neraka","0","0","0","https://x.com/Cyberwatch0611/status/1768425071859970249","1539874609709072384","Cyberwatch0611"
"1768295955101893059","Thu Mar 14 23:51:50 +0000 2024","0","@satriohendri gubes galau berjamaah 4 alumni UGM dilipat Akabri. gubes ITB buat sirekap amboradul nama baik KPU hancur dimata rakyat. pokoknya pokok semua salah @jokowi @gibran_tweet ... pengen banget banjir biadab pak sumedi","1768424832344207692","","satriohendri","in",".","0","0","0","https://x.com/weleo9/status/1768424832344207692","735726967438245888","weleo9"
"1768255043684454412","Thu Mar 14 23:51:14 +0000 2024","3","@Jumianto_RK Mukut nya jomusioner KPU tidak beretik","1768424682985005548","","Jumianto_RK","in","Indonesia","0","1","0","https://x.com/edtheluck/status/1768424682985005548","203474201","edtheluck"
"1768424374171058212","Thu Mar 14 23:50:01 +0000 2024","16","Komisi Pemilihan Umum atau KPU optimistis proses rekapitulasi dan penetapan hasil pemilu tingkat nasional bisa diselesaikan dua hari sebelum batas akhir penyelesaian rekapitulasi pada Rabu (20/3/2024). ___ PENGEN BANGET Hujan Banjir Nasida Ria Xpander #JumatBerkah https://t.co/vjFj4xwnbo","1768424374171058212","https://pbs.twimg.com/media/GIq0lwQbkAAjYww.jpg","","in","Indonesia","1","3","14","https://x.com/Saodah1234/status/1768424374171058212","1272953532535062529","Saodah1234"
"1768297042420658237","Thu Mar 14 23:49:56 +0000 2024","0","@lpkkaltim @Bambong31Sukses @vanc1Bozz @RagilSemar @DrEvaChaniago @hamidah_nadya @CutSarina5 @AqimushSHOLAT @D___Frozen @6undul0h @vaniepink @InfoLurah @mesoen1065 KPU yang harus menjawab itu di persidangan dengan membawa semua data soal server2. Ada beberapa IP address dari CDN &amp; Firewall di SG tapi kita belum bisa tahu lokasi server karena di belakang CDN/Firewall gak bisa melihat IP server","1768424354227065224","","lpkkaltim","in","Jakarta Capital Region, Indone","0","0","0","https://x.com/TedInvestigasi/status/1768424354227065224","1613929735020773376","TedInvestigasi"
"1768147349740867779","Thu Mar 14 23:49:42 +0000 2024","0","@Dennysiregar7 @KPU_ID 16% kalau di buka asli nya nyampe 5%. Jangan di buka ya KPU kasihan.","1768424296597409881","","Dennysiregar7","in","Malang","0","1","0","https://x.com/pradipta944/status/1768424296597409881","1512344952","pradipta944"
"1768044496766599218","Thu Mar 14 23:48:49 +0000 2024","2","@Syarman59 @kompascom Mengusut kecurangan KPU melalui hak angket?... Lha mosok anggota dewan yg justru mengangkangi konstitusi?... Berilah pencerahan kepada masyarakat awam tentang kebenaran... bukan pembenaran yg mengatas-namakan konstitusi...","1768424072311169274","","Syarman59","in","Yogyakarta, Indonesia","0","0","0","https://x.com/DjogdjaKembali/status/1768424072311169274","2701382484","DjogdjaKembali"
"1768423771545972936","Thu Mar 14 23:47:37 +0000 2024","0","Polsek Kaligondang melaksanakan patroli monitoring situasi kamtibmas di kantor KPU Kabupaten Purbalingga #polrespurbalingga #humaspolrespurbalingga #opsmantapbratacandi20232024 #poldajatenghadir #polisi_indonesia #polisirepublikindonesia #polisiindonesia https://t.co/l1808eBihR","1768423771545972936","https://pbs.twimg.com/media/GIqz38KawAA2Czn.jpg","","in","","0","0","0","https://x.com/Sek_Kejobong1/status/1768423771545972936","1603224297551458305","Sek_Kejobong1"
"1768343074856697877","Thu Mar 14 23:46:21 +0000 2024","1","@Minang_cyber @KPU_ID Siapa yang berbohong? https://t.co/BWgKXVkHKU","1768423452984373512","","Minang_cyber","in","Jakarta Capital Region, Indone","0","1","1","https://x.com/TedInvestigasi/status/1768423452984373512","1613929735020773376","TedInvestigasi"
"1768423421975953859","Thu Mar 14 23:46:14 +0000 2024","551","Ribuan TPS Tanda Tangan dipalsukan Kami tidak mungkin Melegalisasikan ini KPU Bawaslu Harus Tanggung Jawab ‼️ Kabupaten : indragiri Hilir https://t.co/X9emLmVPyp","1768423421975953859","https://pbs.twimg.com/ext_tw_video_thumb/1768423378103513089/pu/img/inxX7zyyzJBR2udY.jpg","","in","Disini","11","9","366","https://x.com/OmJ_JeNggot/status/1768423421975953859","721590341669748736","OmJ_JeNggot"
"1768423349808693386","Thu Mar 14 23:45:56 +0000 2024","0","#TemanPemilih Berikut adalah infographis Perolehan Partai Politik dan Calon Anggota DPR di wilayah Kabupaten Sorong Selatan pata pemilu tahun 2024. yuk like comment dan share! #KPUmelayani #Pemiluserentak2024 https://t.co/MepuCtXhWn","1768423349808693386","https://pbs.twimg.com/media/GIqzplqaQAAPmq_.jpg","","in","Teminabuan, Papua Barat Daya","0","0","0","https://x.com/kpusorsel/status/1768423349808693386","1410074676492050434","kpusorsel"
"1768225924313678235","Thu Mar 14 23:45:46 +0000 2024","0","@ANDALASHUSNI @suharno161 Yep rakyat bisa menerobos masuk ke KPU dan mengaudit langsung. Karena para tersangkanya orang2 berkuasa di negeri ini dan DPR/MPR dinyatakan lumpuh total.","1768423306028585387","","ANDALASHUSNI","in","Balikpapan","0","0","0","https://x.com/lpkkaltim/status/1768423306028585387","1603565032058417153","lpkkaltim"
"1767148833350500710","Thu Mar 14 23:42:07 +0000 2024","0","@ainunnajib @prabowo @gibran_tweet saya bangga dengan kawal pemilu ini merupakan sumbangsih dan perimbangan data KPU yang SIREKAP nya ERROR Saya ikut mengupload di kawal pemilu karena di TPS saya pada web KOU tidak masuk bukti C Planonya","1768422386314174750","","ainunnajib","in","Subang, Indonesia","0","0","0","https://x.com/abi_gheitsa/status/1768422386314174750","151715641","abi_gheitsa"
"1767851196789006375","Thu Mar 14 23:41:56 +0000 2024","1","@geloraco @KPU_ID mutar muter bikin alasan macam2... Akhirnya ngaku juga... Maka hrs diusut tuntas dan kawal hitungan seluruh C.1 yg asli.. Jgn sampai ada C.1 yg palsu/dipalsukan !! @tempodotco @temponewsroom @rmol_id @KataBewe @ReflyHZ @AbrSamad @abu_waras @aniesbaswedan @cakimiNOW","1768422341384831447","","geloraco","in","","0","0","1","https://x.com/baharst28/status/1768422341384831447","191032546","baharst28"
"1767932929941119384","Thu Mar 14 23:40:49 +0000 2024","0","@KompasTV Kalau bigitu mari sama sama bersatu menggugat kpu dan cawe cawe presiden yg telah merusak proses pemilu.","1768422058109862001","","KompasTV","in","","0","0","0","https://x.com/damjuroeng21974/status/1768422058109862001","1669975312225169408","damjuroeng21974"
"1768421798167916714","Thu Mar 14 23:39:47 +0000 2024","0","Etika sudah sering dilanggar apalagi yang bisa diharapkan dari KPU untuk pemilu yang jurdil","1768421798167916714","","","in","","0","0","0","https://x.com/sibermun/status/1768421798167916714","112104043","sibermun"
"1768421740865335697","Thu Mar 14 23:39:33 +0000 2024","0","KPU dan Bawaslu ( pelaku kecurangan ) yg menjadi boneka rezim jokowi jadi buah simalakama","1768421740865335697","","","in","","0","0","0","https://x.com/Aenuddin5/status/1768421740865335697","1139004706578001920","Aenuddin5"
"1768152643833311717","Thu Mar 14 23:38:32 +0000 2024","0","@CNNIndonesia Kebusukan itu lama kelamaan akan tercium juga. Selamat KPU kamu memang busuk","1768421485037957520","","CNNIndonesia","in","Bengkulu, Indonesia","0","0","0","https://x.com/tariganjhon/status/1768421485037957520","458141919","tariganjhon"
"1768421353391296623","Thu Mar 14 23:38:00 +0000 2024","0","@KPU_ID akhirnya mengaku jg di pengadilan... Apkh ini ternasuk pelanggaran hukum? @bawaslu_RI @DKPP_RI @hsym_asyari Lalu dimana hosting server nya? apkh di luar negeri jg? https://t.co/bQbhq9cFYr","1768421353391296623","https://pbs.twimg.com/media/GIqx2UpbEAARAkl.jpg","KPU_ID","in","","1","1","0","https://x.com/BZGourz/status/1768421353391296623","1290558715741925382","BZGourz"
"1768238002374127619","Thu Mar 14 23:37:10 +0000 2024","4","@abu_waras Harus ada efek jera agar KPU kedepanya tdk asal2an dalam menyelnggarakan pemilu efek jera yg efektif adalah hukuman mati.","1768421140421324829","","abu_waras","in","","0","0","0","https://x.com/hammingbirdfly/status/1768421140421324829","1279421604330639360","hammingbirdfly"
"1766551329999298602","Thu Mar 14 23:37:02 +0000 2024","0","@opposite6892 Ini ketua KPU dan Bawaslu yg tidak punya hati demi kepentingan dirinya dan klgnya dikasih makan uang haram.tega mengorbankan dan merusak demokrasi Rakyat Indonesia dia takut nya sama Jokowi dan kroninya bukan takut sama Allah SWT.","1768421106757886216","","opposite6892","in","","0","0","0","https://x.com/Hadrian66992621/status/1768421106757886216","1605934799604297728","Hadrian66992621"
"1768297042420658237","Thu Mar 14 23:37:00 +0000 2024","1","@Bambong31Sukses @TedInvestigasi @vanc1Bozz @RagilSemar @DrEvaChaniago @hamidah_nadya @CutSarina5 @AqimushSHOLAT @D___Frozen @6undul0h @vaniepink @InfoLurah @mesoen1065 Jadi data KPU ada di Data Center yg mana? Indonesia atau Singapura?","1768421100298567889","","Bambong31Sukses","in","Balikpapan","0","1","0","https://x.com/lpkkaltim/status/1768421100298567889","1603565032058417153","lpkkaltim"
"1768421028777300307","Thu Mar 14 23:36:43 +0000 2024","0","Waspadalah ketua KPU sudah mengidap virus cawe-cawe culas akut.","1768421028777300307","","","in","","0","0","0","https://x.com/Zabidinir/status/1768421028777300307","505920756","Zabidinir"
"1768147349740867779","Thu Mar 14 23:36:32 +0000 2024","0","@Dennysiregar7 @KPU_ID KPU nya Ga Tahan Nyimpan Bangkai itu.. akhirnya ngaku juga ada Kerjasama dengan Alibaba Cloud... Horeee Nyicil Bukanya ","1768420981062914330","","Dennysiregar7","in","","0","1","0","https://x.com/PaskalisO/status/1768420981062914330","3101268584","PaskalisO"
"1768412854729003252","Thu Mar 14 23:04:14 +0000 2024","0","KPU dan BAWASLU kalian BIADAB","1768412854729003252","","","in","","0","0","0","https://x.com/MarucilForLife/status/1768412854729003252","214851326","MarucilForLife"
"1768154025965293613","Thu Mar 14 23:02:55 +0000 2024","0","@TSolihien Sblm tgl 20 utk tekan KPU klo berhasil hajar setelah lebaran utk makzulkan mukidi","1768412524012241320","","TSolihien","in","","0","0","0","https://x.com/the1flash474996/status/1768412524012241320","1648071593149743104","the1flash474996"
"1768149063344816368","Thu Mar 14 23:02:17 +0000 2024","24","@Projo_Pusat 50 juta suara itu Karena; 1 TPS bisa ada 500 RB suara Penulis an angka hasil suara ; dari 47 suara bisa jadi 470 suara Matematika SD : 5 + 10 = 15 Matematika KPU ; 5 + 10 = 510 Bansos Dadakan Rp. 496 triliun Monyet juga kalo dibiayai 496 T bisa kok jadi Presiden... MiKiR...","1768412363387212281","","Projo_Pusat","in","Yogyakarta, Indonesia","0","2","2","https://x.com/ystiono105/status/1768412363387212281","1752959055143034880","ystiono105"
"1768214172066828632","Thu Mar 14 23:02:02 +0000 2024","1","@OposisiCerdas Sudah ada contohnya bgmna hasilnya dibawa ke MK Bawaslu dan KPU. Apa masih bisa dipercaya?","1768412300338499738","","OposisiCerdas","in","Indonesia","0","0","0","https://x.com/fairiz_taqy/status/1768412300338499738","72780820","fairiz_taqy"
